시군구,법정동,지번,거래건수,주용도,건물유형,전용면적_최소,전용면적_최대,층_최저,층_최고,평당가_평균,지산후보,단지명,유형확정
화성시 동탄구,여울동,969-4,2,제2종근린생활,집합,52.9,73.0,3,6,1481,,,
,여울동,974-1,2,제2종근린생활,집합,24.2,25.4,5,8,1928,,,
화성시 동탄구,여울동,974-1,2,제2종근린생활,집합,24.2,25.4,5,8,1928,,,
,반송동,159,2,제1종근린생활,집합,29.1,29.5,1,1,1974,,,
화성시 동탄구,반송동,159,2,제1종근린생활,집합,29.1,29.5,1,1,1974,,,
,반송동,7*,2,제1종근린생활,일반,593.8,803.1,,,1726,,,
화성시 동탄구,반송동,7*,2,제1종근린생활,일반,593.8,803.1,,,1726,,,
,장지동,912-9,2,제2종근린생활,집합,37.8,37.8,1,1,3280,,,
화성시 동탄구,장지동,912-9,2,제2종근린생활,집합,37.8,37.8,1,1,3280,,,
,반송동,86-2,1,제2종근린생활,집합,70.6,70.6,8,8,656,,,
화성시 동탄구,반송동,86-2,1,제2종근린생활,집합,70.6,70.6,8,8,656,,,
,반송동,90-6,1,숙박,집합,21.7,21.7,8,8,610,,,
화성시 동탄구,반송동,90-6,1,숙박,집합,21.7,21.7,8,8,610,,,
,반송동,217-6,1,제2종근린생활,집합,54.2,54.2,1,1,2988,,,
화성시 동탄구,반송동,217-6,1,제2종근린생활,집합,54.2,54.2,1,1,2988,,,
,여울동,1019,1,판매,집합,8.4,8.4,11,11,8995,,,
화성시 동탄구,여울동,1019,1,판매,집합,8.4,8.4,11,11,8995,,,
,여울동,1023,1,판매,집합,28.3,28.3,10,10,3738,,,
화성시 동탄구,여울동,1023,1,판매,집합,28.3,28.3,10,10,3738,,,
,반송동,1**,1,제1종근린생활,일반,59.7,59.7,,,166,,,
화성시 동탄구,반송동,1**,1,제1종근린생활,일반,59.7,59.7,,,166,,,
,능동,1***,1,제2종근린생활,일반,356.6,356.6,,,2596,,,
화성시 동탄구,능동,1***,1,제2종근린생활,일반,356.6,356.6,,,2596,,,
,청계동,516,1,제1종근린생활,집합,35.2,35.2,,,3005,,,
화성시 동탄구,청계동,516,1,제1종근린생활,집합,35.2,35.2,,,3005,,,
,반송동,91-2,1,제2종근린생활,집합,133.7,133.7,2,2,569,,,
화성시 동탄구,반송동,91-2,1,제2종근린생활,집합,133.7,133.7,2,2,569,,,
,반송동,106-5,1,제1종근린생활,집합,109.4,109.4,4,4,695,,,
화성시 동탄구,반송동,106-5,1,제1종근린생활,집합,109.4,109.4,4,4,695,,,
,청계동,558,1,제1종근린생활,집합,32.4,32.4,1,1,3061,,,
화성시 동탄구,청계동,558,1,제1종근린생활,집합,32.4,32.4,1,1,3061,,,
,반송동,91-1,1,제2종근린생활,집합,68.5,68.5,3,3,763,,,
화성시 동탄구,반송동,91-1,1,제2종근린생활,집합,68.5,68.5,3,3,763,,,
,여울동,1040-1,1,제2종근린생활,집합,40.6,40.6,5,5,691,,,
화성시 동탄구,여울동,1040-1,1,제2종근린생활,집합,40.6,40.6,5,5,691,,,
,능동,1081,1,제1종근린생활,집합,31.5,31.5,1,1,1721,,,
화성시 동탄구,능동,1081,1,제1종근린생활,집합,31.5,31.5,1,1,1721,,,
,청계동,535-5,1,제2종근린생활,집합,78.0,78.0,2,2,1780,,,
화성시 동탄구,청계동,535-5,1,제2종근린생활,집합,78.0,78.0,2,2,1780,,,
,영천동,851,1,제1종근린생활,집합,39.5,39.5,1,1,4935,,,
화성시 동탄구,영천동,851,1,제1종근린생활,집합,39.5,39.5,1,1,4935,,,
,장지동,913,1,교육연구,집합,425.5,425.5,,,917,,,
화성시 동탄구,장지동,913,1,교육연구,집합,425.5,425.5,,,917,,,
,목동,487-9,1,제1종근린생활,집합,59.0,59.0,1,1,7564,,,
화성시 동탄구,목동,487-9,1,제1종근린생활,집합,59.0,59.0,1,1,7564,,,
,반송동,80,1,제2종근린생활,집합,36.0,36.0,1,1,6428,,,
화성시 동탄구,반송동,80,1,제2종근린생활,집합,36.0,36.0,1,1,6428,,,
,능동,1114-3,1,제2종근린생활,집합,80.0,80.0,2,2,805,,,
화성시 동탄구,능동,1114-3,1,제2종근린생활,집합,80.0,80.0,2,2,805,,,
,송동,723-1,1,제1종근린생활,집합,53.0,53.0,2,2,3427,,,
화성시 동탄구,송동,723-1,1,제1종근린생활,집합,53.0,53.0,2,2,3427,,,
,청계동,535-2,1,제2종근린생활,집합,165.3,165.3,6,6,1760,,,
화성시 동탄구,청계동,535-2,1,제2종근린생활,집합,165.3,165.3,6,6,1760,,,
,반송동,224,1,제2종근린생활,집합,54.0,54.0,,,1745,,,
화성시 동탄구,반송동,224,1,제2종근린생활,집합,54.0,54.0,,,1745,,,
,능동,1113-3,1,교육연구,집합,118.6,118.6,3,3,613,,,
화성시 동탄구,능동,1113-3,1,교육연구,집합,118.6,118.6,3,3,613,,,
,반송동,134,1,제2종근린생활,집합,24.5,24.5,1,1,7090,,,
화성시 동탄구,반송동,134,1,제2종근린생활,집합,24.5,24.5,1,1,7090,,,
,장지동,7**,1,제1종근린생활,일반,198.4,198.4,,,1333,,,
화성시 동탄구,장지동,7**,1,제1종근린생활,일반,198.4,198.4,,,1333,,,
,산척동,717-1,1,제2종근린생활,집합,144.5,144.5,3,3,1716,,,
화성시 동탄구,산척동,717-1,1,제2종근린생활,집합,144.5,144.5,3,3,1716,,,
,능동,1132,1,제1종근린생활,집합,47.2,47.2,1,1,2074,,,
화성시 동탄구,능동,1132,1,제1종근린생활,집합,47.2,47.2,1,1,2074,,,
,능동,1065-1,1,제2종근린생활,집합,49.1,49.1,1,1,1581,,,
화성시 동탄구,능동,1065-1,1,제2종근린생활,집합,49.1,49.1,1,1,1581,,,
,석우동,41-1,1,제1종근린생활,집합,91.4,91.4,1,1,2965,,,
화성시 동탄구,석우동,41-1,1,제1종근린생활,집합,91.4,91.4,1,1,2965,,,
,방교동,779-5,1,제1종근린생활,집합,95.4,95.4,2,2,866,,,
화성시 동탄구,방교동,779-5,1,제1종근린생활,집합,95.4,95.4,2,2,866,,,
,영천동,678-1,1,교육연구,집합,134.2,134.2,7,7,985,,,
화성시 동탄구,영천동,678-1,1,교육연구,집합,134.2,134.2,7,7,985,,,
,여울동,1040-4,1,제1종근린생활,집합,146.5,146.5,3,3,1467,,,
,반송동,135,1,제1종근린생활,집합,13.7,13.7,1,1,3987,,,
화성시 동탄구,여울동,1040-4,1,제1종근린생활,집합,146.5,146.5,3,3,1467,,,
화성시 동탄구,반송동,135,1,제1종근린생활,집합,13.7,13.7,1,1,3987,,,
,영천동,678-6,1,교육연구,집합,95.7,95.7,6,6,1071,,,
화성시 동탄구,영천동,678-6,1,교육연구,집합,95.7,95.7,6,6,1071,,,
,영천동,846-2,1,제1종근린생활,집합,58.8,58.8,1,1,5063,,,
화성시 동탄구,영천동,846-2,1,제1종근린생활,집합,58.8,58.8,1,1,5063,,,
,산척동,744,1,제2종근린생활,집합,35.1,35.1,,,1478,,,
화성시 동탄구,산척동,744,1,제2종근린생활,집합,35.1,35.1,,,1478,,,
,송동,726-1,1,제1종근린생활,집합,35.3,35.3,,,9370,,,
화성시 동탄구,송동,726-1,1,제1종근린생활,집합,35.3,35.3,,,9370,,,
,장지동,977,1,제2종근린생활,집합,32.5,32.5,1,1,1119,,,
화성시 동탄구,장지동,977,1,제2종근린생활,집합,32.5,32.5,1,1,1119,,,
,반송동,91-9,1,제2종근린생활,집합,28.1,28.1,1,1,5952,,,
화성시 동탄구,반송동,91-9,1,제2종근린생활,집합,28.1,28.1,1,1,5952,,,
,영천동,788,1,제2종근린생활,집합,37.0,37.0,2,2,2052,,,
화성시 동탄구,영천동,788,1,제2종근린생활,집합,37.0,37.0,2,2,2052,,,
,반송동,106-1,1,제2종근린생활,집합,100.0,100.0,2,2,1272,,,
화성시 동탄구,반송동,106-1,1,제2종근린생활,집합,100.0,100.0,2,2,1272,,,
,반송동,217-1,1,제2종근린생활,집합,109.5,109.5,3,3,1162,,,
,영천동,679-4,1,기타,집합,480.8,480.8,4,4,1306,,,
화성시 동탄구,반송동,217-1,1,제2종근린생활,집합,109.5,109.5,3,3,1162,,,
화성시 동탄구,영천동,679-4,1,기타,집합,480.8,480.8,4,4,1306,,,
,영천동,681-4,1,제1종근린생활,집합,175.6,175.6,7,7,1120,,,
화성시 동탄구,영천동,681-4,1,제1종근린생활,집합,175.6,175.6,7,7,1120,,,
,능동,1151,1,제1종근린생활,집합,32.2,32.2,1,1,1199,,,
,신동,*,1,제2종근린생활,집합,39.5,39.5,1,1,1218,,,
화성시 동탄구,능동,1151,1,제1종근린생활,집합,32.2,32.2,1,1,1199,,,
화성시 동탄구,신동,*,1,제2종근린생활,집합,39.5,39.5,1,1,1218,,,
,목동,491,1,제2종근린생활,집합,35.4,35.4,1,1,2988,,,
화성시 동탄구,목동,491,1,제2종근린생활,집합,35.4,35.4,1,1,2988,,,
,여울동,988,1,제1종근린생활,집합,37.0,37.0,1,1,1337,,,
,반송동,106-7,1,제2종근린생활,집합,45.3,45.3,2,2,1022,,,
화성시 동탄구,여울동,988,1,제1종근린생활,집합,37.0,37.0,1,1,1337,,,
