출처,계획명,계획기간,단위,사업명,사업개요,총사업비,기투자,향후,이후,y1,y2,y3,y4,y5,기준연도,행,수집일
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,국.도정 주요시책 추진 지원(자체/지 원),2026.01.~2030.12. 시군 종합평가 우수 시군 및 전년도 최하위 시군 중 목표달성 시군 15개 우수 시군 및 실적향 상 10개 시군 우수시군 및 목표달성 시군 상사업비 지원,160,0,160,0,32,32,32,32,32,2026,3441,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,조정교부금지원(자 체/직접),기간:2026.1~2030.12 대상:31개 시군 규모:보통세 징수액의 27%(인구 50만 이상의 시의 경우 47%) 내용:시군 재정 불균형 해소,284902,0,284902,0,54856,55898,56960,58042,59145,2026,3495,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,지역상생발전기금출 연금(자체/직접),기간:2026.1~2030.12 대상:17개 시.도 지방소비세 10%p 분의 35% 내용:지방소비세 35% 출 연,20976,0,20976,0,3904,4044,4190,4341,4497,2026,3509,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,공공기관 경쟁력 강 화(자체/직접),2026.01.~2030.12. 도 공공기관 28개 등 도 공공기관 28개 등 공공·유관기관 직원채 용 지원 및 우수기관 워 크숍 개최 등,47,0,47,0,9,9,12,9,9,2026,3525,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,특별사법경찰활동 활성화 지원(자체/ 직접),2026.01.01.~2030.12.31 . 경기도민 1단 9팀 12센터 수사활동 운영비,94,0,94,0,17,18,19,20,20,2026,3581,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,공무원 인센티브 제 공(자체/직접),"기간 : 2026.01.~2030.12. 대상 : 공무원, 공무직원 등 규모 : 경기도 소속 직원 내용 : 직원 자기개발 등",78,0,78,0,14,15,16,16,17,2026,3612,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,후생복지 지원(자체 /직접),기간 : 2026.01.~ 2030.12. 대상 : 경기도 소속 직 원 등 규모 : 경기도 소속 직 원 등 내용 : 후생복지 지원,1608,0,1608,0,300,310,321,333,344,2026,3660,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,국경일 경축 행사( 자체/직접),"기간 : 2026.01.~2030.12. 대상 : 광복회원, 보훈단체 장 등 규모 : 약 1,000명 내용 : 국경일 경축행사 개 최(3.1절, 광복절 등)",12,0,12,0,2,2,2,2,2,2026,3676,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,기록정보 관리(자체 /직접),"기간 : 2025.01.~2029.12. 대상 : 공무원, 공무직원 등 규모 : 경기도 소속 직원 등 내용 : 기록물 유지관리 등",104,0,104,0,20,20,21,21,22,2026,3689,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,경기도기록원 설립( 자체/직접),"기간 : 2020.01~2026.06 대상 : 공무원,도민 규모 : 경기도기록원 1 식 내용 : 경기도기록원 설 립",363,126,238,0,102,136,0,0,0,2026,3701,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,자치역량 기반구축( 자체/직접),"2026. 1월 ~ 2030. 12월 대상: 공무원, 도민 등 규모: 경기포럼, 경기도 민표창 선정 등 내용: 경기포럼 운영, 경기도민표창 선정 등",47,0,47,0,9,9,9,10,10,2026,3743,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,장학사업 지원(자체 /직접),"2026. 1월 ~ 2030. 12월 대상: 도내 대학생 및 예체능 특기생 등 내용:경기푸른미래관 운영, 장학금 지원 장학금지급, 기숙사 운 영",263,0,263,0,50,51,53,54,56,2026,3755,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,경기도 주민자치 활 성화 기반 구축(자 체/직접),기간: 2025.01.~2029.12. 대상: 주민자치(위원)회 규모: 60여개소 내용: 주민제안사업지 원 및 컨설팅 추진,5,0,5,0,1,1,1,1,1,2026,3769,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,성화 기반 구축(자 체/직접) 기간:,2025.01.~2029.12. 대상: 주민자치(위원)회 규모: 60여개소 내용: 주민제안사업지 원 및 컨설팅 추진,5,0,5,0,1,1,1,1,1,2026,3770,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,공정한 선거관리를 위한 경비지원(자체 /직접),"2026. 1월 ~ 2030. 12월 대상: 자치단체장, 의원 , 교육감 등 규모: 경기도 내 내용: 지방선거 준비 및 실시경비",816,0,816,0,816,0,0,0,0,2026,3782,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,경기도새마을회 지 원(자체/직접),2026. 1월 ~ 2030. 12월 대상: 민간단체 규모: 운영비 및 8개 사 업 내용: 민간단체 공익활 동 지원,60,0,60,0,10,11,12,13,14,2026,3795,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,자원봉사 활성화 기 반구축(자체/직접),2026. 1월 ~ 2030. 12월 대상:(사)경기도자원봉 사센터 규모:경기도자원봉사센 터 1개소 내용:자원봉사센터 운 영비 및 사업비 지원,400,0,400,0,80,80,80,80,80,2026,3845,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,자원봉사 코디네이 터 지원.육성(남부) (균특/지원),2026. 1월 ~ 2030. 12월 대상: 21개 시군(자원봉 사센터) 규모: 코디인건비 2인 내용: 21개 자원봉사센 터 코디네이터(교육/DB) 각 2명에 대한 인건비 지원 Y 행 정안 전부,35,0,35,0,7,7,7,7,7,2026,3859,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,공정한 시험업무 추 진(자체/직접),"2026~2030 공무원시험응시자 시험장 임차료 3,800실, 심사위원 400명 등 시험운영 제반비용",141,0,141,0,24,26,28,30,32,2026,3880,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,국내교육 지원(자체 /직접),"2026~2030 경기도소속공무원 교육생 118,140명 등 재직공무원능력개발",267,0,267,0,46,50,53,57,61,2026,3893,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,국외훈련 지원(자체 /직접),2026~2030 경기도소속공무원 국외 훈련자 118명 등 글로벌 핵심인재 양성,121,0,121,0,21,23,24,26,28,2026,3930,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,공무원 생활안정 지 원(자체/직접),"2026~2030 경기도소속공무원 휴직자 25명, 파견자 200명 등 육아휴직대체인부임,파 견공무원 주택보조비 등",79,0,79,0,13,14,16,17,19,2026,3941,2026-09-20
